time,hour,minute,second,day_sec,light,interval,treatment,fragment
10:18:28,10,18,28,37108,138,1,33,F3
10:18:29,10,18,29,37109,138,1,33,F3
10:18:30,10,18,30,37110,138,1,33,F3
10:18:31,10,18,31,37111,138,1,33,F3
10:18:32,10,18,32,37112,138,1,33,F3
10:18:33,10,18,33,37113,138,1,33,F3
10:18:34,10,18,34,37114,138,1,33,F3
10:18:35,10,18,35,37115,138,1,33,F3
10:18:36,10,18,36,37116,138,1,33,F3
10:18:37,10,18,37,37117,138,1,33,F3
10:18:38,10,18,38,37118,138,1,33,F3
10:18:39,10,18,39,37119,138,1,33,F3
10:18:40,10,18,40,37120,138,1,33,F3
10:18:41,10,18,41,37121,138,1,33,F3
10:18:42,10,18,42,37122,138,1,33,F3
10:18:43,10,18,43,37123,138,1,33,F3
10:18:44,10,18,44,37124,138,1,33,F3
10:18:45,10,18,45,37125,138,1,33,F3
10:18:46,10,18,46,37126,138,1,33,F3
10:18:47,10,18,47,37127,138,1,33,F3
10:18:48,10,18,48,37128,138,1,33,F3
10:18:49,10,18,49,37129,138,1,33,F3
10:18:50,10,18,50,37130,138,1,33,F3
10:18:51,10,18,51,37131,138,1,33,F3
10:18:52,10,18,52,37132,138,1,33,F3
10:18:53,10,18,53,37133,138,1,33,F3
10:18:54,10,18,54,37134,138,1,33,F3
10:18:55,10,18,55,37135,138,1,33,F3
10:18:56,10,18,56,37136,138,1,33,F3
10:18:57,10,18,57,37137,138,1,33,F3
10:18:58,10,18,58,37138,138,1,33,F3
10:18:59,10,18,59,37139,138,1,33,F3
10:19:00,10,19,0,37140,138,1,33,F3
10:19:01,10,19,1,37141,138,1,33,F3
10:19:02,10,19,2,37142,138,1,33,F3
10:19:03,10,19,3,37143,138,1,33,F3
10:19:04,10,19,4,37144,138,1,33,F3
10:19:05,10,19,5,37145,138,1,33,F3
10:19:06,10,19,6,37146,138,1,33,F3
10:19:07,10,19,7,37147,138,1,33,F3
10:19:08,10,19,8,37148,138,1,33,F3
10:19:09,10,19,9,37149,138,1,33,F3
10:19:10,10,19,10,37150,138,1,33,F3
10:19:11,10,19,11,37151,138,1,33,F3
10:19:12,10,19,12,37152,138,1,33,F3
10:19:13,10,19,13,37153,138,1,33,F3
10:19:14,10,19,14,37154,138,1,33,F3
10:19:15,10,19,15,37155,138,1,33,F3
10:19:16,10,19,16,37156,138,1,33,F3
10:19:17,10,19,17,37157,138,1,33,F3
10:19:18,10,19,18,37158,138,1,33,F3
10:19:19,10,19,19,37159,138,1,33,F3
10:19:20,10,19,20,37160,138,1,33,F3
10:19:21,10,19,21,37161,138,1,33,F3
10:19:22,10,19,22,37162,138,1,33,F3
10:19:23,10,19,23,37163,138,1,33,F3
10:19:24,10,19,24,37164,138,1,33,F3
10:19:25,10,19,25,37165,138,1,33,F3
10:19:26,10,19,26,37166,138,1,33,F3
10:19:27,10,19,27,37167,138,1,33,F3
10:19:28,10,19,28,37168,138,1,33,F3
10:19:29,10,19,29,37169,138,1,33,F3
10:19:30,10,19,30,37170,138,1,33,F3
10:19:31,10,19,31,37171,138,1,33,F3
10:19:32,10,19,32,37172,138,1,33,F3
10:19:33,10,19,33,37173,138,1,33,F3
10:19:34,10,19,34,37174,138,1,33,F3
10:19:35,10,19,35,37175,138,1,33,F3
10:19:36,10,19,36,37176,138,1,33,F3
10:19:37,10,19,37,37177,138,1,33,F3
10:19:38,10,19,38,37178,138,1,33,F3
10:19:39,10,19,39,37179,138,1,33,F3
10:19:40,10,19,40,37180,138,1,33,F3
10:19:41,10,19,41,37181,138,1,33,F3
10:19:42,10,19,42,37182,138,1,33,F3
10:19:43,10,19,43,37183,138,1,33,F3
10:19:44,10,19,44,37184,138,1,33,F3
10:19:45,10,19,45,37185,138,1,33,F3
10:19:46,10,19,46,37186,138,1,33,F3
10:19:47,10,19,47,37187,138,1,33,F3
10:19:48,10,19,48,37188,138,1,33,F3
10:19:49,10,19,49,37189,138,1,33,F3
10:19:50,10,19,50,37190,138,1,33,F3
10:19:51,10,19,51,37191,138,1,33,F3
10:19:52,10,19,52,37192,138,1,33,F3
10:19:53,10,19,53,37193,138,1,33,F3
10:19:54,10,19,54,37194,138,1,33,F3
10:19:55,10,19,55,37195,138,1,33,F3
10:19:56,10,19,56,37196,138,1,33,F3
10:19:57,10,19,57,37197,138,1,33,F3
10:19:58,10,19,58,37198,138,1,33,F3
10:19:59,10,19,59,37199,138,1,33,F3
10:20:00,10,20,0,37200,138,1,33,F3
10:20:01,10,20,1,37201,138,1,33,F3
10:20:02,10,20,2,37202,138,1,33,F3
10:20:03,10,20,3,37203,138,1,33,F3
10:20:04,10,20,4,37204,138,1,33,F3
10:20:05,10,20,5,37205,138,1,33,F3
10:20:06,10,20,6,37206,138,1,33,F3
10:20:07,10,20,7,37207,138,1,33,F3
10:20:08,10,20,8,37208,138,1,33,F3
10:20:09,10,20,9,37209,138,1,33,F3
10:20:10,10,20,10,37210,138,1,33,F3
10:20:11,10,20,11,37211,138,1,33,F3
10:20:12,10,20,12,37212,138,1,33,F3
10:20:13,10,20,13,37213,138,1,33,F3
10:20:14,10,20,14,37214,138,1,33,F3
10:20:15,10,20,15,37215,138,1,33,F3
10:20:16,10,20,16,37216,138,1,33,F3
10:20:17,10,20,17,37217,138,1,33,F3
10:20:18,10,20,18,37218,138,1,33,F3
10:20:19,10,20,19,37219,138,1,33,F3
10:20:20,10,20,20,37220,138,1,33,F3
10:20:21,10,20,21,37221,138,1,33,F3
10:20:22,10,20,22,37222,138,1,33,F3
10:20:23,10,20,23,37223,138,1,33,F3
10:20:24,10,20,24,37224,138,1,33,F3
10:20:25,10,20,25,37225,138,1,33,F3
10:20:26,10,20,26,37226,138,1,33,F3
10:20:27,10,20,27,37227,138,1,33,F3
10:20:28,10,20,28,37228,138,1,33,F3
10:20:29,10,20,29,37229,138,1,33,F3
10:20:30,10,20,30,37230,138,1,33,F3
10:20:31,10,20,31,37231,138,1,33,F3
10:20:32,10,20,32,37232,138,1,33,F3
10:20:33,10,20,33,37233,138,1,33,F3
10:20:34,10,20,34,37234,138,1,33,F3
10:20:35,10,20,35,37235,138,1,33,F3
10:20:36,10,20,36,37236,138,1,33,F3
10:20:37,10,20,37,37237,138,1,33,F3
10:20:38,10,20,38,37238,138,1,33,F3
10:20:39,10,20,39,37239,138,1,33,F3
10:20:40,10,20,40,37240,138,1,33,F3
10:20:41,10,20,41,37241,138,1,33,F3
10:20:42,10,20,42,37242,138,1,33,F3
10:20:43,10,20,43,37243,138,1,33,F3
10:20:44,10,20,44,37244,138,1,33,F3
10:20:45,10,20,45,37245,138,1,33,F3
10:20:46,10,20,46,37246,138,1,33,F3
10:20:47,10,20,47,37247,138,1,33,F3
